Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","2","Afghanistan","5530","Prix à la Production (LCU/tonne)","56","Maïs","2017","2017","7021","Valeur annuel","LCU","20700","","Donnée officielle"
"PP","Prix à la Production","2","Afghanistan","5531","Prix à la Production (SLC/tonne)","56","Maïs","2017","2017","7021","Valeur annuel","SLC","20700","","Donnée officielle"
"PP","Prix à la Production","2","Afghanistan","5539","Indice des prix à la production (2014-2016 = 100)","512","Fruits, agrumes nda","2017","2017","7021","Valeur annuel","","90","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","2","Afghanistan","5539","Indice des prix à la production (2014-2016 = 100)","56","Maïs","2017","2017","7021","Valeur annuel","","216","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","2","Afghanistan","5539","Indice des prix à la production (2014-2016 = 100)","79","Mils","2017","2017","7021","Valeur annuel","","90","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","2","Afghanistan","5539","Indice des prix à la production (2014-2016 = 100)","490","Oranges","2017","2017","7021","Valeur annuel","","90","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","2","Afghanistan","5539","Indice des prix à la production (2014-2016 = 100)","44","Orge","2017","2017","7021","Valeur annuel","","90","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","2","Afghanistan","5539","Indice des prix à la production (2014-2016 = 100)","1804","Agrumes, total","2017","2017","7021","Valeur annuel","","90","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","2","Afghanistan","5539","Indice des prix à la production (2014-2016 = 100)","1814","Céréales Secondaires, tot","2017","2017","7021","Valeur annuel","","172","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","202","Afrique du Sud","5530","Prix à la Production (LCU/tonne)","75","Avoine","2017","2017","7021","Valeur annuel","LCU","3220","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5530","Prix à la Production (LCU/tonne)","497","Citrons et limes","2017","2017","7021","Valeur annuel","LCU","7474","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5530","Prix à la Production (LCU/tonne)","56","Maïs","2017","2017","7021","Valeur annuel","LCU","1697","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5530","Prix à la Production (LCU/tonne)","490","Oranges","2017","2017","7021","Valeur annuel","LCU","3604","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5530","Prix à la Production (LCU/tonne)","44","Orge","2017","2017","7021","Valeur annuel","LCU","2824","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5530","Prix à la Production (LCU/tonne)","507","Pamplemousses et pomelos","2017","2017","7021","Valeur annuel","LCU","2474","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5530","Prix à la Production (LCU/tonne)","83","Sorgho","2017","2017","7021","Valeur annuel","LCU","2638","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5530","Prix à la Production (LCU/tonne)","495","Tangerines, mandarines, clémentines, satsumas","2017","2017","7021","Valeur annuel","LCU","6694","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5531","Prix à la Production (SLC/tonne)","75","Avoine","2017","2017","7021","Valeur annuel","SLC","3220","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5531","Prix à la Production (SLC/tonne)","497","Citrons et limes","2017","2017","7021","Valeur annuel","SLC","7474","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5531","Prix à la Production (SLC/tonne)","56","Maïs","2017","2017","7021","Valeur annuel","SLC","1697","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5531","Prix à la Production (SLC/tonne)","490","Oranges","2017","2017","7021","Valeur annuel","SLC","3604","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5531","Prix à la Production (SLC/tonne)","44","Orge","2017","2017","7021","Valeur annuel","SLC","2824","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5531","Prix à la Production (SLC/tonne)","507","Pamplemousses et pomelos","2017","2017","7021","Valeur annuel","SLC","2474","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5531","Prix à la Production (SLC/tonne)","83","Sorgho","2017","2017","7021","Valeur annuel","SLC","2638","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5531","Prix à la Production (SLC/tonne)","495","Tangerines, mandarines, clémentines, satsumas","2017","2017","7021","Valeur annuel","SLC","6694","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","75","Avoine","2017","2017","7021","Valeur annuel","USD","241","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","497","Citrons et limes","2017","2017","7021","Valeur annuel","USD","561","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","56","Maïs","2017","2017","7021","Valeur annuel","USD","127","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","490","Oranges","2017","2017","7021","Valeur annuel","USD","270","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","44","Orge","2017","2017","7021","Valeur annuel","USD","212","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","507","Pamplemousses et pomelos","2017","2017","7021","Valeur annuel","USD","186","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","83","Sorgho","2017","2017","7021","Valeur annuel","USD","198","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","495","Tangerines, mandarines, clémentines, satsumas","2017","2017","7021","Valeur annuel","USD","502","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","75","Avoine","2017","2017","7021","Valeur annuel","","98","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","202","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","108","Ceréales nda","2017","2017","7021","Valeur annuel","","103","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","202","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","497","Citrons et limes","2017","2017","7021","Valeur annuel","","97","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","202","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","512","Fruits, agrumes nda","2017","2017","7021","Valeur annuel","","129","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","202","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","56","Maïs","2017","2017","7021","Valeur annuel","","68","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","202","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","79","Mils","2017","2017","7021","Valeur annuel","","113","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","202","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","490","Oranges","2017","2017","7021","Valeur annuel","","106","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","202","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","44","Orge","2017","2017","7021","Valeur annuel","","93","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","202","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","507","Pamplemousses et pomelos","2017","2017","7021","Valeur annuel","","61","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","202","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","89","Sarrasin, blé noir","2017","2017","7021","Valeur annuel","","113","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","202","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","71","Seigle","2017","2017","7021","Valeur annuel","","113","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","202","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","83","Sorgho","2017","2017","7021","Valeur annuel","","94","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","202","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","495","Tangerines, mandarines, clémentines, satsumas","2017","2017","7021","Valeur annuel","","90","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","202","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","1804","Agrumes, total","2017","2017","7021","Valeur annuel","","96","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","202","Afrique du Sud","5539","Indice des prix à la production (2014-2016 = 100)","1814","Céréales Secondaires, tot","2017","2017","7021","Valeur annuel","","70","Im","Données de la FAO basées sur une méthodologie d'imputation"
"PP","Prix à la Production","3","Albanie","5530","Prix à la Production (LCU/tonne)","75","Avoine","2017","2017","7021","Valeur annuel","LCU","38394","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5530","Prix à la Production (LCU/tonne)","497","Citrons et limes","2017","2017","7021","Valeur annuel","LCU","125690","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5530","Prix à la Production (LCU/tonne)","56","Maïs","2017","2017","7021","Valeur annuel","LCU","33191","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5530","Prix à la Production (LCU/tonne)","490","Oranges","2017","2017","7021","Valeur annuel","LCU","54200","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5530","Prix à la Production (LCU/tonne)","44","Orge","2017","2017","7021","Valeur annuel","LCU","36160","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5530","Prix à la Production (LCU/tonne)","71","Seigle","2017","2017","7021","Valeur annuel","LCU","59602","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5530","Prix à la Production (LCU/tonne)","495","Tangerines, mandarines, clémentines, satsumas","2017","2017","7021","Valeur annuel","LCU","61624","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5531","Prix à la Production (SLC/tonne)","75","Avoine","2017","2017","7021","Valeur annuel","SLC","38394","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5531","Prix à la Production (SLC/tonne)","497","Citrons et limes","2017","2017","7021","Valeur annuel","SLC","125690","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5531","Prix à la Production (SLC/tonne)","56","Maïs","2017","2017","7021","Valeur annuel","SLC","33191","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5531","Prix à la Production (SLC/tonne)","490","Oranges","2017","2017","7021","Valeur annuel","SLC","54200","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5531","Prix à la Production (SLC/tonne)","44","Orge","2017","2017","7021","Valeur annuel","SLC","36160","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5531","Prix à la Production (SLC/tonne)","71","Seigle","2017","2017","7021","Valeur annuel","SLC","59602","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5531","Prix à la Production (SLC/tonne)","495","Tangerines, mandarines, clémentines, satsumas","2017","2017","7021","Valeur annuel","SLC","61624","","Donnée officielle"
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","75","Avoine","2017","2017","7021","Valeur annuel","USD","322","","Donnée officielle"
